Kernel Performance Report
=========================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::_softmax         0.01%      12.930us         0.01%      21.760us      21.760us      70.144us         0.04%      70.144us      70.144us           0 b           0 b       4.39 Mb       4.39 Mb             1  
void at::native::(anonymous namespace)::cunn_Spatial...         0.00%       0.000us         0.00%       0.000us       0.000us      70.144us         0.04%      70.144us      70.144us           0 b           0 b           0 b           0 b             1  
                                             aten::view         0.04%      61.112us         0.04%      61.112us       1.910us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32  
                                       aten::empty_like         1.51%       2.515ms         1.73%       2.877ms     287.744us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     646.00 Mb           0 b            10  
                                            aten::empty         0.07%     121.550us         0.22%     362.852us      36.285us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     646.00 Mb     646.00 Mb            10  
                                           Unrecognized         0.14%     241.302us         0.14%     241.302us     241.302us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel         0.43%     710.434us         0.43%     710.434us       6.124us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           116  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 166.789ms
Self CUDA time total: 159.866ms
