Kernel Performance Report
=========================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::clamp         0.01%      15.220us         0.02%      22.310us      22.310us     123.872us         0.11%     123.872us     123.872us           0 b           0 b      10.55 Mb      10.55 Mb             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     123.872us         0.11%     123.872us     123.872us           0 b           0 b           0 b           0 b             1  
                                          aten::softmax         0.01%       8.030us         0.03%      37.150us      37.150us       0.000us         0.00%      68.799us      68.799us           0 b           0 b       4.39 Mb           0 b             1  
                                         aten::_softmax         0.01%      13.930us         0.02%      28.410us      28.410us      68.799us         0.06%      68.799us      68.799us           0 b           0 b       4.39 Mb       4.39 Mb             1  
void at::native::(anonymous namespace)::cunn_Spatial...         0.00%       0.000us         0.00%       0.000us       0.000us      68.799us         0.06%      68.799us      68.799us           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      45.567us         0.04%      45.567us      45.567us           0 b           0 b           0 b           0 b             1  
                                             aten::view         0.05%      63.700us         0.05%      63.700us       1.991us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 116.120ms
Self CUDA time total: 112.921ms
